AphiaID,rank,scientificname
152391,Phylum,Nemertea
141579,Species,Macoma balthica
123776,Species,Asterias rubens
130537,Species,Scoloplos armiger
1337,Class,Hydrozoa
125333,Species,Alcyonium digitatum
130359,Species,Nephtys hombergii
141433,Species,Abra alba
131187,Species,Spiophanes bombyx
345281,Species,Kurtiella bidentata
140480,Species,Mytilus edulis
129582,Genus,Spirobranchus
131495,Species,Lanice conchilega
558,Phylum,Porifera
129370,Genus,Nephtys
146142,Phylum,Bryozoa
2036,Subclass,Oligochaeta
124913,Species,Ophiura albida
111367,Species,Flustra foliacea
130357,Species,Nephtys cirrosa
1360,Order,Actiniaria
107276,Species,Cancer pagurus
107232,Species,Pagurus bernhardus
378492,Species,Varicorbula gibba
152367,Species,Lagis koreni
988,Family,Serpulidae
131170,Species,Pygospio elegans
555935,Species,Spirobranchus triqueter
130544,Species,Owenia fusiformis
124929,Species,Ophiura ophiura
130123,Species,Glycera lapidum
129884,Species,Heteromastus filiformis
129892,Species,Mediomastus fragilis
146907,Species,Fabulina fabula
131107,Species,Aonides paucibranchiata
140430,Species,Mya arenaria
130616,Species,Eteone longa
138333,Genus,Ensis
129710,Genus,Polycirrus
152302,Species,Hediste diversicolor
124273,Species,Echinocyamus pusillus
107398,Species,Necora puber
130980,Species,Scalibregma inflatum
607402,Species,Hilbigneris gracilis
117809,Species,Nemertesia antennina
103077,Species,Monoporeia affinis
131573,Species,Terebellides stroemii
130867,Species,Sabellaria spinulosa
111597,Species,Alcyonidium diaphanum
106738,Family,Paguridae
125080,Species,Amphiura filiformis
128545,Genus,Phoronis
135144,Species,Caryophyllia (Caryophyllia) smithii
130599,Species,Pholoe baltica
129220,Genus,Notomastus
130140,Species,Goniada maculata
111355,Species,Electra pilosa
129898,Species,Notomastus latericeus
146950,Species,Galathowenia oculata
130601,Species,Pholoe inornata
123084,Class,Ophiuroidea
140302,Species,Spisula subtruncata
141767,Species,Calliostoma zizyphinum
107381,Species,Carcinus maenas
151894,Species,Euspira nitida
125064,Species,Amphipholis squamata
100834,Species,Urticina felina
151628,Species,Peringia ulvae
125131,Species,Ophiothrix fragilis
283798,Species,Cerianthus lloydii
107388,Species,Liocarcinus holsatus
140737,Species,Phaxas pellucidus
129876,Species,Capitella capitata
124392,Species,Echinocardium cordatum
123574,Genus,Ophiura
130711,Species,Poecilochaetus serpens
140589,Species,Nucula nitidosa
134121,Species,Cliona celata
107188,Species,Pisidia longicornis
123803,Species,Marthasterias glacialis
129955,Species,Chaetozone setosa
130100,Species,Diplocirrus glaucus
119034,Species,Saduria entomon
1039839,Species,Steromphala cineraria
117890,Species,Hydrallmania falcata
103058,Species,Bathyporeia elegans
1839,Class,Ascidiacea
106215,Species,Balanus crenatus
129943,Species,Caulleriella alata
129781,Species,Ampharete lindstroemi
118100,Family,Chironomidae
141662,Species,Thyasira flexuosa
141908,Species,Chamelea striatula
124154,Species,Crossaster papposus
138998,Species,Cerastoderma edule
131183,Species,Spio filicornis
103882,Species,Dendrodoa grossularia
138802,Species,Arctica islandica
131127,Species,Laonice bahusiensis
129615,Genus,Marenzelleria
130116,Species,Glycera alba
883,Class,Polychaeta
131188,Species,Spiophanes kroyeri
129868,Species,Arenicola marina
101928,Species,Ampelisca spinipes
102101,Species,Corophium volutator
141435,Species,Abra nitida
110487,Species,Diastylis rathkei
124319,Species,Psammechinus miliaris
129491,Genus,Harmothoe
138963,Species,Crepidula fornicata
